customer_id,nama,gender,pendidikan,umur,alamat,nomor_telepon,status_pernikahan,pendapatan
CUS_000574,Pranata Wahyuni,wanita,SD,26,"Gang Tubagus Ismail No. 891
Magelang, Kepulauan Bangka Belitung 48005",+62872-4514-7223,Single,47000000
CUS_000750,"Chelsea Damanik, S.E.",pria,Sarjana,28,"Gang Peta No. 0
Banjarbaru, KS 27475",+62816-4228-6548,Single,66000000
CUS_002206,"Putri Napitupulu, M.Farm",pria,Magister,33,"Gang M.H Thamrin No. 32
Subulussalam, BT 04848",+62829-2265-1008,Sudah menikah,25000000
CUS_005022,Teddy Sihotang,pria,SMP,44,"Jalan Tebet Barat Dalam No. 8
Tarakan, PB 39605",+62897-7037-0869,Sudah menikah,96500000
CUS_005720,Tira Ardianto,pria,SD,58,"Jl. Erlangga No. 4
Purwokerto, KI 74286",+62809-4995-4231,Sudah menikah,67000000
CUS_006454,Jinawi Setiawan,pria,SD,18,"Gg. Surapati No. 81
Tarakan, DI Yogyakarta 58735",+62880-4758-5429,Single,77000000
CUS_006512,Hani Tamba,wanita,SD,42,"Jalan M.H Thamrin No. 00
Malang, MA 64553",+62805-8804-5660,Single,61000000
CUS_006542,Bajragin Melani,wanita,SD,42,"Jalan W.R. Supratman No. 65
Pematangsiantar, KT 71466",+62860-2894-8211,Single,81000000
CUS_007044,Humaira Zulkarnain,pria,Sarjana,46,"Jalan Pelajar Pejuang No. 396
Cimahi, NT 82450",+62811-3805-6282,Single,49000000
CUS_007292,Drs. Ajiman Damanik,pria,Doktor,48,"Gg. Stasiun Wonokromo No. 93
Bukittinggi, RI 76556",+62879-8259-7895,Sudah menikah,11500000
CUS_009666,"Pia Widodo, M.Kom.",pria,Magister,55,"Jl. Abdul Muis No. 9
Tangerang, YO 90344",+62892-3804-0422,Sudah menikah,79000000
CUS_013778,Adhiarja Halimah,pria,SD,23,"Gang Gedebage Selatan No. 6
Sibolga, KS 87394",+62883-5566-3908,Single,74500000
CUS_014009,Eluh Maryati,pria,Sarjana,58,"Gang Astana Anyar No. 8
Padang Sidempuan, KI 40074",+62800-8846-6672,Single,39500000
CUS_014448,Uchita Prasetyo,pria,SMP,32,"Jalan Cikutra Timur No. 298
Tual, AC 56531",+62836-8098-0268,Sudah menikah,67500000
CUS_015853,Ida Dabukke,wanita,SD,47,"Jalan Jend. A. Yani No. 04
Singkawang, Banten 28561",+62856-5811-9983,Single,24500000
CUS_016070,Harja Prayoga,pria,SD,23,"Jl. Cihampelas No. 9
Makassar, GO 59421",+62866-6256-6375,Sudah menikah,30500000
CUS_016617,Lala Prakasa,pria,Sarjana,49,"Jalan Asia Afrika No. 5
Padang Sidempuan, ST 12053",+62850-3876-7494,Single,93000000
CUS_016937,Zamira Mangunsong,wanita,SD,51,"Jl. M.H Thamrin No. 33
Purwokerto, JK 68724",+62898-8470-9019,Sudah menikah,76000000
CUS_017285,"Tgk. Rafi Wulandari, S.Psi",pria,Sarjana,48,"Gg. Cikutra Barat No. 03
Singkawang, Papua Barat 72435",+62872-0709-3796,Sudah menikah,26000000
CUS_017499,Saiful Waluyo,wanita,SMA/SMK/MA,26,"Jalan Kendalsari No. 399
Banda Aceh, Papua 91312",+62897-2498-5070,Sudah menikah,38500000
CUS_018216,Kamaria Simbolon,pria,Sarjana,57,"Gang Cikutra Timur No. 811
Bekasi, Kalimantan Tengah 67808",+62808-9107-3289,Single,66500000
CUS_019167,Halima Mahendra,pria,SMA/SMK/MA,50,"Gg. Ahmad Yani No. 152
Yogyakarta, KI 80653",+62822-8241-9959,Sudah menikah,11000000
CUS_019610,Rendy Wasita,pria,SMA/SMK/MA,21,"Gg. Sadang Serang No. 8
Batam, Lampung 24459",+62800-9877-8807,Single,62000000
CUS_019689,H. Bambang Uyainah,pria,Sarjana,40,"Jl. Suryakencana No. 463
Tanjungbalai, Papua 58399",+62862-2992-6261,Sudah menikah,51500000
CUS_022258,Yani Budiman,wanita,Sarjana,39,"Gang Pelajar Pejuang No. 3
Tasikmalaya, Kalimantan Tengah 11579",+62803-2145-7090,Single,46000000
CUS_022351,Cornelia Lailasari,pria,SMP,22,"Jl. Jayawijaya No. 50
Yogyakarta, Bengkulu 64401",+62820-3294-5637,Single,16000000
CUS_022750,Irnanto Suartini,pria,Sarjana,52,"Jl. Surapati No. 434
Bekasi, Papua 54013",+62835-8782-1176,Sudah menikah,77000000
CUS_025462,"KH. Samsul Maulana, S.Pd",pria,Sarjana,58,"Jl. Ahmad Yani No. 8
Surabaya, Bali 06991",+62805-0102-8192,Sudah menikah,23000000
CUS_026070,Padma Wijaya,pria,SMA/SMK/MA,54,"Jl. Ciwastra No. 62
Ternate, YO 25534",+62890-8836-5850,Sudah menikah,79500000
CUS_027833,"dr. Koko Mandala, M.TI.",pria,Doktor,56,"Gang K.H. Wahid Hasyim No. 200
Tual, Sumatera Utara 63380",+62872-9839-3769,Single,25500000
CUS_028264,Lutfan Sinaga,pria,SD,54,"Gang Surapati No. 839
Bandung, Kalimantan Timur 89302",+62865-7604-5699,Single,12000000
CUS_028595,"drg. Faizah Palastri, S.Farm",wanita,Sarjana,38,"Gang Setiabudhi No. 73
Prabumulih, Aceh 96896",+62880-0366-5930,Sudah menikah,79000000
CUS_028642,"Dt. Asman Prayoga, S.T.",wanita,Sarjana,40,"Jalan Kiaracondong No. 366
Sungai Penuh, NB 82095",+62849-8635-2291,Sudah menikah,72500000
CUS_028722,"Mahesa Rajata, M.Farm",wanita,Magister,35,"Jl. Jend. A. Yani No. 58
Kendari, SB 65187",+62887-8645-7607,Single,19000000
CUS_029324,Hasta Mayasari,pria,SMA/SMK/MA,43,"Jl. Dipatiukur No. 3
Pariaman, NT 19003",+62801-8962-1108,Sudah menikah,69000000
CUS_030209,Jumadi Prabowo,pria,SD,18,"Gang Monginsidi No. 170
Kupang, Kalimantan Timur 90581",+62829-1342-5427,Sudah menikah,46000000
CUS_030285,Cahya Anggriawan,wanita,SMA/SMK/MA,55,"Gang Suniaraja No. 28
Padang Sidempuan, Jawa Timur 08099",+62876-8764-5699,Single,60500000
CUS_030926,Ismail Widiastuti,wanita,SMA/SMK/MA,16,"Gang Veteran No. 87
Kota Administrasi Jakarta Timur, SS 39743",+62854-0658-2298,Single,81000000
CUS_031210,Rini Utami,wanita,SMP,44,"Jl. Jend. A. Yani No. 650
Tangerang Selatan, DI Yogyakarta 97469",+62883-1693-2466,Sudah menikah,60000000
CUS_031725,Ilyas Zulaika,wanita,SMA/SMK/MA,22,"Jalan Dr. Djunjunan No. 1
Kediri, Bengkulu 51182",+62885-9824-8543,Single,24500000
CUS_033820,"Ida Mansur, S.I.Kom",wanita,Sarjana,41,"Gang W.R. Supratman No. 73
Pontianak, SR 05381",+62834-0287-2745,Single,88000000
CUS_036790,Jamil Prasetyo,wanita,SMP,46,"Jalan Jayawijaya No. 97
Lubuklinggau, Riau 18196",+62870-3630-6093,Sudah menikah,43000000
CUS_036870,"Dr. Mahfud Hasanah, S.H.",pria,Doktor,42,"Gang Ir. H. Djuanda No. 7
Batam, BA 29578",+62839-7809-7269,Sudah menikah,60500000
CUS_037218,Sabar Lestari,wanita,SMP,17,"Gang Ciwastra No. 69
Palu, Nusa Tenggara Timur 41821",+62870-4011-3928,Sudah menikah,37500000
CUS_038091,"H. Rama Natsir, S.Pd",pria,Sarjana,52,"Gang Cempaka No. 9
Palembang, Kepulauan Riau 38092",+62814-3454-6231,Single,30500000
CUS_040436,"Drs. Gabriella Prasasta, M.TI.",wanita,Doktor,49,"Gang Lembong No. 563
Pematangsiantar, Riau 55962",+62826-6443-8074,Sudah menikah,69000000
CUS_041422,"Ibrani Nashiruddin, S.Gz",pria,Sarjana,32,"Jalan Jakarta No. 81
Denpasar, Kepulauan Bangka Belitung 30654",+62811-2358-8930,Single,84000000
CUS_043689,R. Jinawi Rajasa,pria,SMP,46,"Gg. Suryakencana No. 248
Malang, Sumatera Selatan 12544",+62808-1023-2876,Sudah menikah,40000000
CUS_043704,Natalia Pudjiastuti,pria,Sarjana,26,"Jl. Kutai No. 4
Tebingtinggi, SB 33420",+62846-8981-4148,Single,71000000
CUS_044444,"Daryani Napitupulu, S.Kom",pria,Sarjana,50,"Gang Pasteur No. 4
Padangpanjang, Maluku 20339",+62872-9517-9872,Single,93500000
CUS_044868,R.A. Titi Maryadi,wanita,SMP,49,"Gg. Ahmad Yani No. 50
Tegal, JB 33826",+62840-7143-9990,Sudah menikah,41500000
CUS_045734,Bakidin Usamah,wanita,SMA/SMK/MA,46,"Jalan Monginsidi No. 6
Palu, Jawa Tengah 79613",+62874-9277-7754,Sudah menikah,41500000
CUS_045948,Ilsa Latupono,pria,SMA/SMK/MA,47,"Gang Dipenogoro No. 9
Kotamobagu, RI 29771",+62883-4719-4967,Single,23000000
CUS_045974,Titi Utama,wanita,SMA/SMK/MA,57,"Gg. Laswi No. 109
Cilegon, Sumatera Selatan 31944",+62812-6485-9390,Single,32000000
CUS_046041,Joko Kurniawan,pria,SD,27,"Jl. Gedebage Selatan No. 61
Medan, Kalimantan Timur 46856",+62802-1313-4887,Single,8500000
CUS_046411,Nasab Wibowo,wanita,SMA/SMK/MA,46,"Jl. Cikapayang No. 0
Makassar, SG 26446",+62815-5667-4654,Single,65500000
CUS_049738,Perkasa Natsir,pria,SMA/SMK/MA,32,"Jalan Cihampelas No. 6
Blitar, BT 02177",+62816-2142-6752,Single,44500000
CUS_051053,Yulia Gunarto,wanita,SMA/SMK/MA,38,"Jl. BKR No. 926
Sawahlunto, NB 93954",+62832-9634-0500,Sudah menikah,56000000
CUS_051476,Kairav Maulana,pria,SMA/SMK/MA,32,"Jalan Dipenogoro No. 5
Surakarta, Papua Barat 86521",+62846-8420-4504,Sudah menikah,87500000
CUS_051528,Rangga Zulkarnain,pria,SMP,16,"Jl. Cempaka No. 4
Pontianak, KU 99892",+62870-4735-1721,Single,88500000
CUS_051886,Putri Saefullah,wanita,Sarjana,52,"Gg. Kutisari Selatan No. 59
Yogyakarta, KU 83444",+62810-7213-4651,Sudah menikah,57000000
CUS_051997,Salimah Astuti,wanita,Sarjana,30,"Gg. Kebonjati No. 7
Prabumulih, SU 15796",+62892-0984-3262,Sudah menikah,51500000
CUS_052008,"KH. Bakda Maryadi, S.I.Kom",pria,Sarjana,51,"Gg. PHH. Mustofa No. 628
Blitar, Kalimantan Selatan 67124",+62811-5895-3613,Sudah menikah,50500000
CUS_052806,Damu Pradana,wanita,SD,30,"Gang Sukabumi No. 004
Bandar Lampung, NT 87181",+62894-5094-2869,Single,6000000
CUS_053448,"Laksana Riyanti, S.T.",wanita,Sarjana,35,"Gg. Cikutra Timur No. 03
Cimahi, BB 85116",+62801-0016-7615,Single,81500000
CUS_053602,"Warsa Narpati, S.T.",pria,Sarjana,37,"Jl. Ciwastra No. 8
Sorong, Kalimantan Barat 73149",+62824-2119-3980,Single,43500000
CUS_055816,T. Muni Samosir,wanita,Sarjana,33,"Jalan H.J Maemunah No. 4
Kotamobagu, Jawa Barat 02436",+62803-0664-3964,Sudah menikah,96500000
CUS_056181,Nadia Mandasari,pria,SMP,21,"Gang Sentot Alibasa No. 09
Solok, Papua Barat 70993",+62886-8467-2499,Single,66500000
CUS_058907,Dr. Eka Namaga,pria,Doktor,32,"Jalan Gedebage Selatan No. 24
Jambi, KT 37728",+62827-9595-9458,Sudah menikah,73000000
CUS_059072,"Yono Oktaviani, S.I.Kom",wanita,Sarjana,45,"Gg. Gegerkalong Hilir No. 4
Sabang, GO 93112",+62864-6625-9812,Single,31500000
CUS_059393,Kasim Januar,wanita,SD,55,"Gg. Antapani Lama No. 576
Palu, MU 33593",+62836-8440-7845,Single,22000000
CUS_060328,Sarah Habibi,pria,SMA/SMK/MA,16,"Gang Rajawali Barat No. 87
Pematangsiantar, BB 67301",+62898-8969-4280,Sudah menikah,49500000
CUS_060365,Gara Narpati,wanita,SMP,41,"Gg. Kutisari Selatan No. 40
Bandar Lampung, Bali 64245",+62814-4656-7684,Single,91500000
CUS_061743,"Cut Salimah Wulandari, S.E.I",pria,Sarjana,33,"Gg. Pacuan Kuda No. 889
Jambi, SS 71207",+62839-3570-6909,Single,69500000
CUS_062517,Septi Putra,wanita,SMA/SMK/MA,45,"Gg. Astana Anyar No. 189
Kota Administrasi Jakarta Selatan, NT 01298",+62842-6609-3098,Sudah menikah,93500000
CUS_063589,Rosman Sirait,pria,SD,35,"Jalan Wonoayu No. 7
Bitung, KB 35023",+62837-4901-5188,Single,35500000
CUS_063879,Perkasa Kusmawati,pria,SD,38,"Gang Dipenogoro No. 63
Banjarbaru, DI Yogyakarta 77670",+62886-8505-0849,Sudah menikah,30000000
CUS_064542,Dacin Wibowo,wanita,SMP,35,"Jl. PHH. Mustofa No. 5
Sorong, Papua Barat 90626",+62803-2463-1645,Single,65000000
CUS_064555,Daryani Pratiwi,wanita,SD,45,"Jl. Cikutra Barat No. 913
Jambi, Nusa Tenggara Timur 37526",+62876-8701-4872,Single,100000000
